episode;fake_acc;real_acc;perceptual_acc;gen_loss
0;0.986328125;0.9828125;0.013671875;1520.062890625
1;0.981640625;0.990234375;0.018359375;1462.05185546875
2;0.986328125;0.99296875;0.013671875;1531.40380859375
3;0.98046875;0.991015625;0.01953125;1458.175
4;0.98515625;0.988671875;0.01484375;1490.39599609375
5;0.980859375;0.98984375;0.019140625;1468.4232421875
6;0.9796875;0.988671875;0.0203125;1464.30244140625
7;0.987890625;0.98828125;0.012109375;1449.00888671875
8;0.987890625;0.99296875;0.012109375;1485.7212890625
9;0.98515625;0.991015625;0.01484375;1448.95322265625
10;0.9828125;0.9921875;0.0171875;1474.19873046875
11;0.980078125;0.99453125;0.019921875;1456.6943359375
12;0.984765625;0.99296875;0.015234375;1462.98388671875
13;0.983203125;0.993359375;0.016796875;1439.29462890625
14;0.9828125;0.993359375;0.0171875;1436.28916015625
15;0.987109375;0.99453125;0.012890625;1449.39697265625
16;0.98359375;0.99453125;0.01640625;1453.96923828125
17;0.986328125;0.994921875;0.013671875;1479.8927734375
18;0.979296875;0.994140625;0.020703125;1421.58681640625
19;0.9828125;0.994921875;0.0171875;1470.98974609375
20;0.980859375;0.99296875;0.019140625;1406.81337890625
21;0.98203125;0.99609375;0.01796875;1432.08427734375
22;0.981640625;0.99609375;0.018359375;1405.495703125
23;0.980078125;0.99453125;0.019921875;1432.613671875
24;0.9828125;0.99609375;0.0171875;1421.791796875
25;0.983984375;0.99453125;0.016015625;1466.9984375
26;0.98203125;0.99375;0.01796875;1385.6916015625
27;0.9828125;0.994140625;0.0171875;1416.8212890625
28;0.981640625;0.995703125;0.018359375;1412.20224609375
29;0.9828125;0.9953125;0.0171875;1462.31201171875
30;0.979296875;0.996484375;0.020703125;1386.2080078125
31;0.987890625;0.99375;0.012109375;1418.930078125
32;0.98203125;0.99375;0.01796875;1395.7578125
33;0.98203125;0.99453125;0.01796875;1433.15078125
34;0.98515625;0.9953125;0.01484375;1404.96962890625
35;0.98125;0.995703125;0.01875;1436.9771484375
36;0.979296875;0.99609375;0.020703125;1415.546875
37;0.978125;0.99296875;0.021875;1374.21611328125
38;0.9828125;0.994140625;0.0171875;1413.95556640625
39;0.982421875;0.99296875;0.017578125;1407.04892578125
40;0.983984375;0.994140625;0.016015625;1426.906640625
41;0.9765625;0.994921875;0.0234375;1440.16689453125
42;0.97265625;0.996484375;0.02734375;1413.73681640625
43;0.980859375;0.996875;0.019140625;1433.0265625
44;0.978515625;0.99375;0.021484375;1377.81494140625
45;0.980078125;0.99375;0.019921875;1384.4044921875
46;0.98203125;0.994921875;0.01796875;1406.7083984375
47;0.978125;0.99375;0.021875;1417.51171875
48;0.98046875;0.995703125;0.01953125;1431.35244140625
49;0.981640625;0.996484375;0.018359375;1439.47041015625
